date,hour,text
2/6/2021,18:00:05,"@LCSeward @mtgreenee @JoeBiden @TwitterSupport The video was confusing for you?

🤣🤣🤣🤣🤣

Go take a civics class."
2/6/2021,18:00:05,"I wonder what @SteveScalise thinks of this garbage? 

There is a demented, liar in the White House. 

And he wasn’t… https://t.co/zsTik311Qf"
2/6/2021,18:00:06,White House “stands by” Joe Biden’s promise to sign the Equality Act in first 100 days https://t.co/dQmil9Tf99
2/6/2021,18:00:07,"@mtgreenee @JoeBiden Dont talk shit, Biden is your president."
2/6/2021,18:00:07,Joe Biden told you knee grows there will be no executive action for you unless you can benefit off something he do… https://t.co/TlMTP4gwbw
2/6/2021,18:00:09,@mvhaydencenter @RichardGrenell @JoeBiden Very stable human https://t.co/RUbUR1uZrD
2/6/2021,18:00:13,"@mmpadellan @ksorbs Unlike Hunter Biden, you didn't have a dad that USED you as a tool and bagman to do his bidding… https://t.co/xI2KVoiY3o"
2/6/2021,18:00:15,All of Congress should WANT to solve the covid19 issue. If they don't spend $ that means they aren't helping their… https://t.co/7nPQXsGvjB
2/6/2021,18:00:15,@RichardGrenell @JoeBiden WHAT A JOKE
2/6/2021,18:00:16,"174 organizations and businesses urge Biden to cancel IMMIGRANT BAN! 
@cnnbrk @cnnbrk @CNN @ABC @CBSNews @NBCNews… https://t.co/FaOBXCA2rI"
2/6/2021,18:00:16,@MarshaBlackburn Marsha doesn’t realize it was Ttump’s inaction! And now Joe Biden’s climate action will open up ma… https://t.co/qWCUiZUm6h
2/6/2021,18:00:16,"@H_MitchellPhoto Thank God!!!

Hamish Mitchell
15h
President @JoeBiden  breaks with tradition and will not provide… https://t.co/vXqrXlMW36"
2/6/2021,18:00:17,@STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB Hell NO! They BUMS!
2/6/2021,18:00:18,"Dow Jones futures will open Sunday evening, along with S&amp;P 500 futures and Nasdaq futures. The House gave final app… https://t.co/lOc6Xh67lg"
2/6/2021,18:00:19,I think shrinking the frequency of the use of the death penalty makes sense. But I still think it’s justice to vict… https://t.co/DNENhwp1XS
2/6/2021,18:00:19,@mvhaydencenter @RichardGrenell @JoeBiden @RichardGrenell isn’t lying https://t.co/Z2jMPWvpT1
2/6/2021,18:00:20,"My latet article, Joe Biden's Engagement in Belarus, suggests working with Russia to avoid war over this tiny natio… https://t.co/OQ4lZU0tRY"
2/6/2021,18:00:20,Ron DeSantis throws Spring Training pitch at Joe Biden https://t.co/esjtyYS4fa
2/6/2021,18:00:21,Apocalipse
2/6/2021,18:00:21,@mtgreenee @JoeBiden Give joe Biden a chance
2/6/2021,18:00:23,"@mvhaydencenter @RichardGrenell @JoeBiden LOL. Did you miss his fully vaccinate '300 Americans' vow?! 
Unstable x 17
https://t.co/wphji3ZpqT"
2/6/2021,18:00:24,She caved to the hollywood pressure cooker who broke her spirit &amp; sense of honor &amp; principle.  She sold the country… https://t.co/v7PwcgEBnX
2/6/2021,18:00:25,@CNN @SpeakerPelosi she was in on the insurrection
2/6/2021,18:00:25,@Btrambauersmith @mtgreenee @JoeBiden Let her keep opening her ignorant mouth and continue to dig her political grave.
2/6/2021,18:00:25,"I don't understand this.

At all.

Flynn is completely contracting himself and 17 now.

@DanScavino
??????

https://t.co/nqUcg7iYTA"
2/6/2021,18:00:26,SPECIAL REPORT: Inside Joe Biden's corruption scandal and the social med... https://t.co/q4XpwhqzP0 via @YouTube
2/6/2021,18:00:29,"Fuckin lol, the photographer must’ve been based"
2/6/2021,18:00:29,@mack3636 The new AF1. Do people still believe Joe is President? From hiding at Castle Rock Studios ( white house i… https://t.co/USs4hxhK3k
2/6/2021,18:00:29,@mtgreenee @JoeBiden You are so full of crap.
2/6/2021,18:00:29,@Margie5 @PDemitrio @mtgreenee @JoeBiden How do you follow his teachings correctly?
2/6/2021,18:00:30,Almost every person endorsing Joe Biden is connected to or is on Epstein’s flight log. That’s no coincidence is it… https://t.co/75kDcwNmFD
2/6/2021,18:00:30,"@CNNPolitics 46% of oil goes to making gas and the other 54% goes towards making medicines, cosmetics, ink, plastic… https://t.co/MZnX9pgiQj"
2/6/2021,18:00:30,Editorial: Joe Biden is right to restore America to a prominent international role https://t.co/2Yw0i2eccT
2/6/2021,18:00:31,Very sensible to a puppet of Putins.
2/6/2021,18:00:33,@marwilliamson Ask your beloved @JoeBiden you voted for him
2/6/2021,18:00:33,LOVE THAT
2/6/2021,18:00:34,@GretchenInOK @JoeBiden Would like to think even the most grouded and intense liberal would see the insanity of thi… https://t.co/D75RJZ1Q1p
2/6/2021,18:00:35,@gravesanddoyle @POTUS @JoeBiden @VP @AliMayorkas They don't even use THAT lame excuse to hold families.
2/6/2021,18:00:35,@waltshaub @johncdrake @POTUS In 2019 Joe Biden was a private citizen...just like Hunter.
2/6/2021,18:00:36,"This is a distortion of Catholism. I'm a contemporary of Mr. Biden's, went to Catholic school as he apparently did.… https://t.co/lxmB5MzSXZ"
2/6/2021,18:00:36,Does he even know what plexiglass is or even what a restaurant is??/
2/6/2021,18:00:36,"Pres. Trump is a promise-keeper!  Sleepy Joe cannot even remember his promises!  When he does, he breaks his word a… https://t.co/h4RvMyUgVG"
2/6/2021,18:00:37,"@pbump @brianstelter and yet .@brianstelter never had the nuts to condemn or ask about Joe Biden's 94 crime bill,bu… https://t.co/6P0Leoeaeb"
2/6/2021,18:00:37,I’m sure trump supporters think the same about her. @JoeBiden need to get her in order.
2/6/2021,18:00:38,@parscale @DonaldJTrumpJr @JoeBiden Fascinating how after the vaccine rollout has begun and millions of people have… https://t.co/AKM7O1eFzv
2/6/2021,18:00:39,@atjeffholcomb @mvhaydencenter @RichardGrenell @JoeBiden Whistleblower: Joe Biden Is In The Early Stages Of Dementi… https://t.co/mJdG6XMMSI
2/6/2021,18:00:39,"Joe. @JoeBiden 

Tell Lloyd that if YOU two shitbags keep fucking the dog...

I AM gonna send in MY HEAVY.😎"
2/6/2021,18:00:40,“THERE IS NO FOOD!! We’re hungry”Do you know how difficult it is to hear these words from your family in the 21st c… https://t.co/pw8PvQLCRt
2/6/2021,18:00:41,"@JoeBiden How to Get Rid of Worms in Cats
https://t.co/M69u938Zn9"
2/6/2021,18:00:42,That's right release the illegals but don't you dare go in a store without your mask or the Liberals will melt in f… https://t.co/zZbZbOCSP5
2/6/2021,18:00:42,I just woke up. Shd I believe it or not? I am choosing to believe it.
2/6/2021,18:00:42,@mtgreenee @JoeBiden Ohhhhhhhhh Marjorie...was he President at the time of this statement? Gosh how did you get this far being this dumb?
2/6/2021,18:00:44,@atjeffholcomb @mvhaydencenter @RichardGrenell @JoeBiden @RichardGrenell will never be irrelevant.  He’s the first… https://t.co/b5Yl2TPPwO
2/6/2021,18:00:47,Tell President @JoeBiden: Shut down the Dakota Access Pipeline. https://t.co/rjcd2UqyJJ
2/6/2021,18:00:47,Biden Tosses Out Trump's Last-Minute Judicial Picks https://t.co/FujhEw1Lch
2/6/2021,18:00:48,"@POTUS @JoeBiden Hell no. America is destroyed by you #Biden..now Texas caught 257 ""migrants"" aka illegals (if we t… https://t.co/O4S7Xg3nuM"
2/6/2021,18:00:48,@RaymondArroyo @DoranOancia @worldoverdc It is selective. Joe Biden gets called out Bill Barr gets an award. When u… https://t.co/rzzhJuyToo
2/6/2021,18:00:48,@mvhaydencenter @RichardGrenell @JoeBiden We have seen with our own eyes Joe is not in a good spot. With the dog fa… https://t.co/su4BD4zfXc
2/6/2021,18:00:48,Because Biden isn't if sound mind. End the charade.
2/6/2021,18:00:49,"@nickgillespie @JoeBiden @reason @petersuderman We are in the candy store phase of self governance.

Stimulus is st… https://t.co/c2O8idNIbX"
2/6/2021,18:00:52,@_Scarlet_Carson Is this Joe Biden?? Wow Doll the President has slid into your DM’s 😳😂😂😂
2/6/2021,18:00:52,@Breaking911 Good lord have mercy the ear piece must have really been mad.  Joe Biden doesn’t know what day it is..… https://t.co/wwXQo8T9o7
2/6/2021,18:00:53,Joe Biden is in favor of keeping the embassy there. He's also keeping the name Space Force. He will uphold most of… https://t.co/jb84c52BIW
2/6/2021,18:00:53,@POTUS @JoeBiden joe................fix whats wrong in America...FIRST....that is what we the people of United Stat… https://t.co/7YIKTLSgSC
2/6/2021,18:00:54,"YOU @JoeBiden  SHOULDN""T be *&amp;^%$#@!@.....you cheated. I hear they are gonna make you an honory member of the… https://t.co/DTSgPhozvu"
2/6/2021,18:00:55,#Georgia How in the world did you elect thisinsane individual into congress. She isn’t trying to make #America bett… https://t.co/dLMJN3AbtT
2/6/2021,18:00:56,"Three times as many people die of COVID per day under Biden, as were dying under Trump, on average.

Good job, Joe!"
2/6/2021,18:00:56,@nyteyear @Barack_McBush @JennaEllisEsq @JoeBiden @thedemocrat projection n reflection!!  I love that an “inept pol… https://t.co/Bz8F5pzI49
2/6/2021,18:00:57,The best way to identify which of your self-described Hollywood liberal friends are actually temporarily embarrasse… https://t.co/6EZma1DxVw
2/6/2021,18:00:59,@club4growth @JoeBiden the Fbi should investigate your involvement in the Jan 6th Terrorist attack. I'm sure it would be quite enlightening
2/6/2021,18:01:01,"If Trump comes out and says he is FOR the Olympians to go, Biden will Boycott."
2/6/2021,18:01:01,@TheRyanKingII @Mfbauer24 @STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB What does Trump have anything to do w… https://t.co/r2VBBthe3f
2/6/2021,18:01:02,Can anyone find said video????
2/6/2021,18:01:02,@BethGon68073085 @Jim_Jordan @JoeBiden Fuck you you have no idea what you're talking about
2/6/2021,18:01:03,"When you put it that way, it becomes clear how little of a dilemma it is. Help people who need it? Or play nice wit… https://t.co/Lb73gxwyPf"
2/6/2021,18:01:04,Tell President @JoeBiden: Shut down the Dakota Access Pipeline. https://t.co/eCSkYeJGKd
2/6/2021,18:01:06,"They're bending reality so violently to comply with their fantasy world, I'm afraid they're either going to have to… https://t.co/SqyooIpuyv"
2/6/2021,18:01:08,@Breaking911 @joebiden is a f’ing hypocrite puppet.
2/6/2021,18:01:09,"Dear White House Graphics and Calligraphy Office and Office of the White House Counsel, can citizen #DonaldJTrump u… https://t.co/lFmqDjiyB3"
2/6/2021,18:01:11,@mvhaydencenter @RichardGrenell @JoeBiden He doesn’t have to imply anything. Joe Biden is barely Joe Biden anymore.… https://t.co/ZJEDbKrCGD
2/6/2021,18:01:11,"@wolfblitzer @NFL @JoeBiden county owns most of the stadiums and can do with as they please, the nfl and goodell ha… https://t.co/NC2JTgFMmK"
2/6/2021,18:01:12,@WIONews @JoeBiden @akankshaswarups Socialist democratic Communo United States...
2/6/2021,18:01:14,"@SHINICHISAN5 @MallorieReese @BarackObama @JoeBiden I cried too, it doesn’t make us weak, it makes us desperate for… https://t.co/yt6NbLGiRI"
2/6/2021,18:01:15,@RJ_RishiJain @ForeignPolicy @JoeBiden @narendramodi @POTUS 300?? What are you even talking ? There are total 245 s… https://t.co/nIYgBlziXu
2/6/2021,18:01:16,@mvhaydencenter @RichardGrenell @JoeBiden World leader that will never answer a question.  Enough said.
2/6/2021,18:01:18,Joe Biden and the Democrats will deliver the relief package we need so badly . Republicans will try to obstruct it… https://t.co/doDLowIPrg
2/6/2021,18:01:21,@AlexandraDixon @Mega_Pixls @MollyJongFast I was told hundreds of billions to different Russian mobs by one of you… https://t.co/NYrgL8r9A8
2/6/2021,18:01:21,@RosannaPrism @MSNBC @AliciaMenendez Healthy leadership? Joe Biden son is a pedophile and a junkie who makes millio… https://t.co/pbsB3ekhFB
2/6/2021,18:01:22,@STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB We know you won’t be pitching that game
2/6/2021,18:01:22,"Not exactly dumb, not bright, but not dumb, the real issue time has not been kind to his mind."
2/6/2021,18:01:22,@ukeonio @RichardGrenell @JoeBiden the level of trust bestowed upon him is the truly important breakthrough here -… https://t.co/jPMaU6yPGx
2/6/2021,18:01:24,"OMG.  Dopey Joe is one to talk about ""erratic behavior,"" LMAO.
How absurd and ridiculous. 
🤣🤣🤣🤣🤣 

Biden thinks Tru… https://t.co/yCeziMQHzG"
2/6/2021,18:01:27,The @PressSec and Dictator @JoeBiden  is full of horse shit ..The restriction ease at the border puts a strain on o… https://t.co/DdKnbOO54a
2/6/2021,18:01:27,The FAUX news brain dead MAGA probably have the sads and are outraged that @POTUS rejoined the Paris accord or put… https://t.co/pBPZsfReyt
2/6/2021,18:01:27,"@logicalpoet @RepMTG Yes the Democratic kool-aid is poison as well
as Joe Biden and his sidekick who said he was
ra… https://t.co/WJRiELZlYn"
2/6/2021,18:01:27,"**News Flash**
Biden is doing a great job!!!
At making Trump look like a great President!
Keep signing those EO’s Joe!"
2/6/2021,18:01:29,@ShellyAshley97 @kimKBaltimore @JoeBiden You mean the hoax virus that would be fine in a few days. Trump sure fools you people.
2/6/2021,18:01:29,"@mtgreenee @JoeBiden Most of the world wanted the corrupt Ukrainian prosecutor gone, including republican senators.… https://t.co/ZfkZ7vAdb7"
2/6/2021,18:01:32,Joe Biden says he won't employ family members in his government https://t.co/wRaCgn7rXo https://t.co/HY1zwr2i1q
2/6/2021,18:01:32,@BidenFinnegan I love that @JoeBiden is my @POTUS https://t.co/KZBakfJbOV
2/6/2021,18:01:33,thief
2/6/2021,18:01:33,@mvhaydencenter @RichardGrenell @JoeBiden Oh FFS @JoeBiden has dementia and then world knows it. https://t.co/fu9nupv5OI
2/6/2021,18:01:34,@POTUS Joe Biden is not my president
2/6/2021,18:01:37,@TheLeoTerrell #BREAKING BLOCKBUSTER: #Trump had been ridiculed but turns out to Be Right in his Dec 2 speech when… https://t.co/iBFr3GoVFT
2/6/2021,18:01:38,"@JoeBiden @KamalaHarris @POTUS Potus Biden’s war on energy has reached r citizens, Oil up to highest level in over… https://t.co/Jl38kH76mp"
2/6/2021,18:01:38,I hope so!  President Joe Biden has made clear he will not roll the dice on the country or his presidency with a sk… https://t.co/25hyFenmfy
2/6/2021,18:01:40,"How can Dictator #M7 meet the judiciary after #BobiWine submits his fraud petition. This is evil.
#USA ,#CNN,… https://t.co/HsRvTQHtBI"
2/6/2021,18:01:41,"@WhiteHouse @JoeBiden My fellow Americans and Mr. President, we need assistance immediately. Please make that happe… https://t.co/QAeha4exJb"
2/6/2021,18:01:42,@RichardGrenell @PinkwvPink @JoeBiden Look 👀 who’s talkin!
2/6/2021,18:01:44,Hope all the sheeple 😷out there are starting to WAKE UP!
2/6/2021,18:01:44,"@Facts_chek @HinduAmericans @VP @KamalaHarris @meenaharris @JoeBiden
@POTUS
@PramilaJayapal
@SenateDems

#India has… https://t.co/cWmYxcyue8"
2/6/2021,18:01:46,@kylegriffin1 Joe Biden is the consummate diplomat!
2/6/2021,18:01:46,Indian #fascist regime needs 1 million military personnel in Kashmir to enforce its brutal military occupation.… https://t.co/jb3cHLGzOV
2/6/2021,18:01:46,@RandyDyke5 @PurpleLady21 @business @POTUS @JoeBiden @VP Agree I worked also but my income was down a lot from the prior year .
2/6/2021,18:01:47,@BorisJohnson @JoeBiden True net zero? Does this mean you are going to invest in efuels then? You could sign this i… https://t.co/ATjt9t5yYx
2/6/2021,18:01:47,Bull ship
2/6/2021,18:01:47,Of course Iran has been cheating.  Obama gave them the money they needed to keep cheating.  The Iran Nuclear deal w… https://t.co/Xw1SjR5VXG
2/6/2021,18:01:48,"@Shortguy42069 @AllyRounds @FoxNews They didn’t shut their existing businesses down. They were still running so, th… https://t.co/KTM3LDgGGl"
2/6/2021,18:01:48,@priscialva Please protect #DALCA. These documented dreamers are sidelined. They face possible deportation when the… https://t.co/KrENqx8YIY
2/6/2021,18:01:48,"Jen Psaki had no idea Joe Biden signed an executive order to resume Catch and Release. Totally clueless.

https://t.co/NM1F2XqmCv"
2/6/2021,18:01:50,"Joe Biden, an American success story. Working class career challenged by the bigotry politics of the times. Mischie… https://t.co/kNg7uzWM7j"
2/6/2021,18:01:50,@rivers_zen @_Vijay_Nahar @mtgreenee @JoeBiden Really?? Who? Where do I sign??
2/6/2021,18:01:51,@nytimes hi you can love Amazon gift card I will give you a hot amazon gift card offer for $200 go this way get thi… https://t.co/ouELin2H2n
2/6/2021,18:01:52,"@JohnCornyn Just making 💩 up now.  Pure partisan desperation.

@JoeBiden is literally fighting to send them back. All he talks about."
2/6/2021,18:01:52,@johncardillo @JoeBiden This is supposed to be our president and he’s one of the biggest liars on the planet!
2/6/2021,18:01:55,Can’t be sure Joe Biden even understands the intel briefings &amp; that makes me wonder what impact does he have???
2/6/2021,18:01:55,#JoeBiden #KamalaHarris UNCONSCIONABLE 😡 completely irresponsible as it clearly put our nation at risk &amp; lacks ALL… https://t.co/Zaugr4Om6B
2/6/2021,18:01:57,"Also, important to note that PACs are just one of many ways corporations spend money to participate in federal poli… https://t.co/czFqKQs0Dg"
2/6/2021,18:01:57,@JackPosobiec and @WHCA @KristinFisher @Foxnews afraid of her and #JenPsaki LIED saying she didn't know. LIAR… https://t.co/GrbVcs3nIo
2/6/2021,18:02:00,"Yes. In my testimony before the @councilofdc last summer, I proposed that we institute regular in-school testing, e… https://t.co/tWd7jSMkfx"
2/6/2021,18:02:00,If Joe Biden cancels student loan debt I will singlehandedly carve his face onto Mount Rushmore
2/6/2021,18:02:02,@BCOOL333 Joe Biden is a great President.
2/6/2021,18:02:02,@KingShyner @channelstv @JoeBiden I was one of them and even till date I don't like Biden. My personal opinion beca… https://t.co/UJjaXOZgNx
2/6/2021,18:02:03,This is Unofficially Announced Emergency in #India so they have freedom to do anything wrong. Simple Logic.… https://t.co/PKwg2ZJw0F
2/6/2021,18:02:04,@FTrenchcoat @nickgillespie @JoeBiden @reason @petersuderman He liked the corporate tax cutting measures but dislik… https://t.co/AUiCSAatFK
2/6/2021,18:02:04,@ksorbs #BREAKING BLOCKBUSTER: #Trump had been ridiculed but turns out to Be Right in his Dec 2 speech when he… https://t.co/lii01u6zSx
2/6/2021,18:02:06,"174 organizations and businesses urge Biden to cancel IMMIGRANT BAN! 

@cnnbrk @cnnbrk @CNN @ABC @CBSNews @NBCNews… https://t.co/453rJEuOeE"
2/6/2021,18:02:07,@POTUS @JoeBiden Putin power
2/6/2021,18:02:08,@DarleneLewis100 @DonaldJTrumpJr Your brain washed by the demo-craps. Trump 2024. Impeach Goofy Joe Biden 2021-2024.
2/6/2021,18:02:10,How to charm a US president https://t.co/bscNjbVDUH #transatlantirelations
2/6/2021,18:02:13,"Another ASSumption, a lie from the liar"
2/6/2021,18:02:14,@TruthsOverLiars @AmyAThatcher 🤣🤣the radical right is obsessed with Hunter Biden. Couldn't dig up anything on Joe s… https://t.co/rrYC7dKr23
2/6/2021,18:02:14,@POTUS @JoeBiden @SpeakerPelosi @SenSchumer @RepAdamSchiff @LindseyGrahamSC @LeaderMcConnell @HouseIntel… https://t.co/5qEkgtTrPx
2/6/2021,18:02:16,Biden Resurrects Claim That He Was ’Shot At’ While Overseas https://t.co/euhBHaaAxt
2/6/2021,18:02:18,"biden actually saying, ""I HATE YOU, MAN"""
2/6/2021,18:02:18,@mtgreenee @JoeBiden Omg you are one despicable politician. The worst of the worst. Stop lying you psychopath MTG
2/6/2021,18:02:18,"Joe Biden Rescinds State, Localities Ability to Refuse Refugees https://t.co/oJQOd773n4 via @BreitbartNews"
2/6/2021,18:02:18,"@POTUS @JoeBiden Most Democrats have the same ideas as Joe Biden, so they stole the 2020 presidential election at all costs."
2/6/2021,18:02:18,@Jo_el_le @Mark_Hartshorne @dover_is @BarryLaneEU @_JoeParky_ @JHeminge @CliveTownsend3 @njbennett @Kelly96968695… https://t.co/ZXeoN0eLbR
2/6/2021,18:02:19,@john_yanczewski @wolfblitzer @NFL @JoeBiden Agree with you wholeheartedly
2/6/2021,18:02:20,Would you say that Joe and Hunter Biden love their country?
2/6/2021,18:02:21,@KPak101 @wasif60897604 @khalilahmedawan @HarisMalikzada @Lakshmi37323235 @UN @BBCWorld @JoeBiden @BorisJohnson… https://t.co/tU5Vt4IUGE
2/6/2021,18:02:21,The horoscope of Joe Biden https://t.co/Eq10tm7ZCL via @YouTube
2/6/2021,18:02:21,@STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB Are you playing this season or opting out?
2/6/2021,18:02:22,@AthiGeleba @Vernon242 @JoeBiden @_AfricanUnion African CDC?
2/6/2021,18:02:22,OMG I THINK JK PRESIDENT !!! 😅
2/6/2021,18:02:25,@BrassBallsBlog Vote Joe Biden He's for quarantine and isolation!
2/6/2021,18:02:25,"@JoeBiden 

Mr. President,🙂

I can't believe that predominantly the white people are vaccinated!
.
I that is true,… https://t.co/PNWwe9tBpY"
2/6/2021,18:02:27,"@CyberNewsUK @JoeBiden @BarackObama @netanyahu 
Israel and Hamas have been doing this for years , but the WORLD hav… https://t.co/gjXNt7dUbX"
2/6/2021,18:02:27,"@UN @coe @OSCE @KremlinRussia_E @JoeBiden @EmmanuelMacron please, #FreeArmenianPOWs U can see in what humiliating s… https://t.co/f5Msx5GCH1"
2/6/2021,18:02:30,"Why worry now why not some dumb pup named Joe Biden came in California opened up maybe they'll all die off""Health e… https://t.co/eZTrnAFRu3"
2/6/2021,18:02:31,@Nemesis_Alert @JoeBiden We'll find out later this year.
2/6/2021,18:02:31,"No, absolutely not. Fuck off"
2/6/2021,18:02:33,"@POTUS @JoeBiden @StateDept BREAKING NEWS‼‼‼‼‼

As of this afternoon, the military has severed all Internet connect… https://t.co/zCeDUTzTB1"
2/6/2021,18:02:34,@justinaaaaah @mtgreenee @JoeBiden Only if you go first
2/6/2021,18:02:34,"@mvhaydencenter @RichardGrenell @JoeBiden Biden doesn't exhibit stable behavior. We have ""leaders"" on both sides of… https://t.co/qI7OJctQS5"
2/6/2021,18:02:34,"@POTUS Fellow Americans? What if Gov provides Line of credits, borrow — payback as you go &amp; pretax transaction of d… https://t.co/idfzV6LJLX"
2/6/2021,18:02:37,@STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB How bout staying down there then and send back a couple dozen baseballs
2/6/2021,18:02:37,@mtgreenee @JoeBiden Sadly you supported the violent insurrection of the Capital Building by homegrown terrorists. #GreeneGoblin
2/6/2021,18:02:38,@Mark_Hartshorne @RobbieScrivene1 @BarryLaneEU @_JoeParky_ @Jo_el_le @JHeminge @CliveTownsend3 @njbennett… https://t.co/iwwZhUfi84
2/6/2021,18:02:38,@mtgreenee Guess who built that wall around the Capitol? Trump! Why ... because he was planning on trying to stay k… https://t.co/x1rympleKa
2/6/2021,18:02:38,@BrotherRabbit4 @nickgillespie @JoeBiden @reason @petersuderman Where are they calling for more bureaucracy?
2/6/2021,18:02:38,@Michael99466160 @Mfbauer24 @STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB How much money did he take from the… https://t.co/RqVOFkdkJA
2/6/2021,18:02:39,Now you go back to looking like a FOOL !😡
2/6/2021,18:02:39,@steven_metz @mvhaydencenter @RichardGrenell @JoeBiden If you don't see that something is clearly wrong with Biden… https://t.co/7pWxxXXbX8
2/6/2021,18:02:39,#BoycottBollywood &amp; INDIAN CRICKET TEAM GET PAID MILLIONS TO TWEET IN SUPPORT OF BJP RSS NAZI Hindu EXTREMISTS MODI… https://t.co/BJv1RG448n
2/6/2021,18:02:40,"""China Virus"" @JoeBiden @KamalaHarris"
2/6/2021,18:02:43,Joe Biden in office.. racism over.. why Nîggas still kneeling?
2/6/2021,18:02:43,@STR0 @KamalaHarris @JoeBiden @Nationals @Mets @MLB That would be cool.
2/6/2021,18:02:43,TRUMP GAVE THE 600 STIMULUS AND THEN BIDEN SAID HE WOULD GIVE 2000 STIMULUS JOE BIDEN AINT NOTHING BUT A LIAR
2/6/2021,18:02:44,"@newsmax Fauci: No gatherings of large groups. Stay seperate and practice safe distancing. 

Biden: Opens the borde… https://t.co/2mv9hFmfzZ"
2/6/2021,18:02:44,Day 14: Apparently Joe's Wandering Aimlessly Around the West Wing. Seriously. https://t.co/jDRRex3ZS9
2/6/2021,18:02:45,"The worst, most dangerous president ever.... @JoeBiden loves when kids are reaching from the pool and rubbing his l… https://t.co/DeM6Uqf3wV"
2/6/2021,18:02:46,@replouiegohmert you’re RIDICULOUS‼️Joe Biden is right when he says to Republicans “time to grow up”
2/6/2021,18:02:47,Biden said that in similar words! So is he a #dictator or just another left wing puppet?
2/6/2021,18:02:48,"@kylegriffin1 Oh yes more government bureaucracy practices that my taxes have to pay for, joe Biden touches kids btw"
2/6/2021,18:02:50,*meanwhile in PR efforts of ⁦@UN⁩ efforts to halt ⁦@WHO⁩ epidemic identified illnesses in run up to ⁦@JoeBiden⁩.com… https://t.co/gMNSpqAYzg
2/6/2021,18:02:51,She's where she belongs. She's a traitor.
2/6/2021,18:02:53,It's only the beginning. Records will be set.
2/6/2021,18:02:54,Joe Biden Killed More Jobs in January with His Executive Orders than the Economy Created in Same Month via… https://t.co/bi6hgTKr7T
2/6/2021,18:02:54,@JoeBiden @UN @SpeakerPelosi @DNC @GOP @CNN @FoxNews *This is all about lies. If one side is the bad guys falsely c… https://t.co/iLmIxPSg3r
2/6/2021,18:02:55,@kylenabecker This is a photo of the REAL Joe Biden.  Compare it against what they're propping up now.
2/6/2021,18:02:56,The traitor and risk to National Security is Joe and the Democratic party. What nerve he has questioning Trump who… https://t.co/jlfsqUUpbm
2/6/2021,18:02:56,@NPR @JoeBiden do something about @KimReynoldsIA - this is out of control
2/6/2021,18:02:56,@parscale @DonaldJTrumpJr @JoeBiden Nothing matters as long as DICKSTAIN donnie is gone. Soon enough you and he can… https://t.co/CLdCPEedCm
2/6/2021,18:02:56,"Well apparently ED is not one of Joe Biden's problems, he has just F--KED AN ENTIRE COUNTRY https://t.co/3RXZlZyh91"
